Time,Sensor A Readings,Sensor B Readings
0.576649907,1650,1769
0.584272115,1750,1840
0.604035441,1876,1907
0.624027256,1945,1913
0.643978923,1949,1897
0.664034157,1918,1858
0.684070963,1861,1838
0.704010942,1808,1781
0.724029049,1748,1760
0.743961585,1750,1836
0.763970395,1864,1970
0.784010185,2064,2065
0.804033338,2189,2065
0.823999225,2206,2075
0.843983092,2238,2114
0.863983521,2325,2148
0.884303569,2373,2105
0.90400459,2287,2016
0.923974945,2183,1948
0.943951579,2113,1894
0.964011893,2021,1824
0.984053795,1889,1737
1.004011589,1742,1680
1.023990098,1635,1627
1.04393898,1585,1616
1.063996372,1571,1622
1.084118365,1642,1682
1.103948921,1739,1744
1.12396683,1840,1791
1.143972685,1903,1805
1.164067431,1959,1820
1.1840276,1979,1823
1.203994893,1936,1801
1.223948896,1892,1797
1.243990625,1847,1776
1.263984937,1782,1737
1.284060442,1671,1680
1.304125995,1604,1713
1.323984407,1694,1898
1.34401702,1920,2129
1.36399702,2160,2332
1.384029361,2310,2451
1.404047887,2407,2491
1.423984644,2406,2423
1.44403868,2271,2258
1.463936077,2106,2096
1.484065439,1949,1963
1.504028667,1856,1835
1.52399321,1755,1735
1.543987559,1680,1681
1.564076642,1655,1662
1.583985199,1676,1674
1.603990719,1681,1707
1.624289582,1725,1779
1.644118237,1851,1922
1.663948968,1993,2017
1.683967423,2087,2032
1.703956361,2064,2015
1.724013424,2025,2025
1.744015824,2023,2035
1.763971282,2017,2005
1.7839783,1969,1951
1.804035273,1947,1903
1.824066443,1959,1875
1.843978475,1963,1843
1.863970543,1871,1799
1.883981827,1781,1783
1.903999715,1745,1809
1.924050425,1742,1855
1.943958494,1717,1877
1.963989876,1693,1922
1.983992117,1734,1951
2.004065324,1759,1926
2.023967522,1738,1870
2.043960805,1712,1809
2.063940023,1741,1808
2.084024317,1850,1827
2.104009479,1941,1814
2.124241259,1946,1802
2.144043853,1917,1776
2.163976789,1899,1790
2.184094625,1883,1792
2.204165573,1862,1776
2.223991111,1842,1776
2.243993594,1840,1767
2.26393536,1855,1754
2.283995444,1806,1729
2.304034513,1755,1750
2.323983846,1769,1811
2.344003696,1846,1895
2.363975972,1915,1903
2.383971296,1968,1932
2.404121851,2108,2017
2.423979209,2291,2160
2.443989511,2410,2306
2.463947419,2446,2437
2.484001121,2427,2509
2.504009985,2375,2513
2.524017518,2240,2438
2.54396689,2013,2267
2.563997657,1726,2096
2.584007584,1520,1950
2.604025215,1434,1872
2.623989067,1387,1811
2.644058855,1378,1775
2.663927895,1498,1807
2.683940556,1769,1873
2.70400189,2029,1937
2.724060815,2130,1949
2.744013147,2144,1963
2.764015313,2147,1962
2.783996802,2143,1918
2.803972543,2063,1827
2.824148962,1954,1747
2.843969048,1929,1759
2.863991403,1983,1826
2.884030683,1995,1833
2.904016182,1901,1781
2.923985216,1782,1748
2.943978702,1757,1776
2.963990436,1789,1795
2.984030362,1777,1790
3.004163491,1773,1795
3.024053031,1809,1817
3.043998387,1887,1854
3.063926432,1934,1872
3.083982599,1957,1872
3.104256685,1958,1875
3.123977176,1942,1887
3.14396198,1898,1868
3.164005095,1827,1814
